Fecha,IPC_Nivel,TPM_Porcentaje,TBP_Porcentaje,TAN_Porcentaje,Credito_Sistema_Financiero,IHH,Morosidad_%,IHH_Lag3,IHH_Lag6,Morosidad_Lag3,Morosidad_Lag6,Credito_Lag3
2018-10-31,97.01424123,5.0,5.8,13.71653195,21091530.073319,987.2032538131477,9.0668279307459,991.3238443558168,997.0549893870094,8.91523641945479,8.517503504272803,20229377.6736491
2018-11-30,97.42364332,5.25,5.85,14.07118624,21112272.8962136,992.7503684627283,9.537521390196671,991.3489172608599,986.5372570349024,9.00819048813252,8.812096476267973,20385263.745623
2018-12-31,97.62911165,5.25,6.0,12.90866539,21194434.2900899,991.0180578048787,9.268953973740066,984.652477462085,984.1316228728871,9.116079019359303,8.819722962623056,20666030.3435468
2019-01-31,97.67921187,5.25,6.25,13.65357628,21171660.9120191,988.605181464059,9.464815651566644,987.2032538131477,991.3238443558168,9.0668279307459,8.91523641945479,21091530.073319
2019-02-28,97.75903179,5.25,6.25,13.71472384,21083835.4570442,987.4097060166712,9.484802338761314,992.7503684627283,991.3489172608599,9.537521390196671,9.00819048813252,21112272.8962136
2019-03-31,97.61741802,5.0,6.2,13.26843198,20973441.9330043,985.0379448584747,9.645204709319813,991.0180578048787,984.652477462085,9.268953973740066,9.116079019359303,21194434.2900899
2019-04-30,98.1654243,5.0,6.15,13.56058622,20929777.0903905,983.7379505412649,10.129408898094402,988.605181464059,987.2032538131477,9.464815651566644,9.0668279307459,21171660.9120191
2019-05-31,98.29805549,4.75,6.3,14.19184065,20796024.9158278,984.2329787753455,10.381236691908656,987.4097060166712,992.7503684627283,9.484802338761314,9.537521390196671,21083835.4570442
2019-06-30,98.56819519,4.5,6.55,13.29498297,20700592.3926454,981.3820570968996,10.506055696478963,985.0379448584747,991.0180578048787,9.645204709319813,9.268953973740066,20973441.9330043
2019-07-31,99.29164281,4.0,6.1,13.63801173,20458445.2363243,976.0890166005455,10.723512346610862,983.7379505412649,988.605181464059,10.129408898094402,9.464815651566644,20929777.0903905
2019-08-31,99.19389058,4.0,5.85,12.99591665,20506375.4555698,973.0402952588388,8.57211536915919,984.2329787753455,987.4097060166712,10.381236691908656,9.484802338761314,20796024.9158278
2019-09-30,99.09749405,3.75,5.7,12.07802007,20654718.6512218,971.5685395367365,8.531515136006464,981.3820570968996,985.0379448584747,10.506055696478963,9.645204709319813,20700592.3926454
2019-10-31,99.02479793,3.25,5.65,12.36245733,20791147.0564599,970.0043726416119,8.392396496429894,976.0890166005455,983.7379505412649,10.723512346610862,10.129408898094402,20458445.2363243
2019-11-30,99.23168932,3.25,5.65,12.62184008,20563158.6226999,969.7602871299703,8.591183783417485,973.0402952588388,984.2329787753455,8.57211536915919,10.381236691908656,20506375.4555698
2019-12-31,99.11544567,2.75,5.75,11.11889791,20706226.9976942,970.8084139879819,8.447308836838058,971.5685395367365,981.3820570968996,8.531515136006464,10.506055696478963,20654718.6512218
2020-01-31,99.2252436,2.25,5.75,14.11059088,20693605.1138134,967.9641518609131,8.52169272828639,970.0043726416119,976.0890166005455,8.392396496429894,10.723512346610862,20791147.0564599
2020-02-29,99.50899301,2.25,4.8,13.67025751,20659403.4670496,961.9741098470178,8.110083981956407,969.7602871299703,973.0402952588388,8.591183783417485,8.57211536915919,20563158.6226999
2020-03-31,99.47891246,1.25,4.15,11.42807196,20918930.300701,959.1329338691031,8.136444539985199,970.8084139879819,971.5685395367365,8.447308836838058,8.531515136006464,20706226.9976942
2020-04-30,99.04023787,1.25,3.9,10.36435343,20670369.1364041,961.0417586045129,8.045646908704493,967.9641518609131,970.0043726416119,8.52169272828639,8.392396496429894,20693605.1138134
2020-05-31,98.8964457,1.25,3.85,11.32696272,20722863.1139264,960.9201844550508,8.028847880285744,961.9741098470178,969.7602871299703,8.110083981956407,8.591183783417485,20659403.4670496
2020-06-30,98.87534831,0.75,3.95,12.17936205,20779526.4354299,958.129159397552,8.148098579969075,959.1329338691031,970.8084139879819,8.136444539985199,8.447308836838058,20918930.300701
2020-07-31,99.12769234,0.75,3.7,10.00594094,20809795.9175041,955.6593459481022,8.23325763920385,961.0417586045129,967.9641518609131,8.045646908704493,8.52169272828639,20670369.1364041
2020-08-31,99.12368658,0.75,3.65,10.14562704,20907050.8883706,962.2555052841977,8.425185851364759,960.9201844550508,961.9741098470178,8.028847880285744,8.110083981956407,20722863.1139264
2020-09-30,99.39375881,0.75,3.45,9.16220966,21060272.6841303,961.671623581017,8.77557112855749,958.129159397552,959.1329338691031,8.148098579969075,8.136444539985199,20779526.4354299
2020-10-31,99.47284192,0.75,3.35,9.66434215,21169372.6943264,960.7781943498535,9.011378309074592,955.6593459481022,961.0417586045129,8.23325763920385,8.045646908704493,20809795.9175041
2020-11-30,99.47432356,0.75,3.4,9.52831481,21167635.5539409,960.7615761504849,8.889354802580957,962.2555052841977,960.9201844550508,8.425185851364759,8.028847880285744,20907050.8883706
